,country,year,donations,receipts,net_donations,cumulative_donations,,,,
472,Cyprus,2011,25,0,25,625,,,,
473,Cyprus,2012,32,0,32,657,,,,
474,Cyprus,2013,32,0,32,689,,,,
475,Cyprus,2014,36,0,36,725,,,,
476,Cyprus,2015,39,0,39,764,,,,
477,Cyprus,2016,45,0,45,809,,,,
478,Czechia,1980,0,0,0,0,,,,
479,Czechia,1981,0,0,0,0,,,,
480,Czechia,1982,0,0,0,0,,,,
481,Czechia,1983,0,0,0,0,,,,
482,Czechia,1984,0,0,0,0,,,,
483,Czechia,1985,0,0,0,0,,,,
484,Czechia,1986,0,0,0,0,,,,
485,Czechia,1987,0,0,0,0,,,,
486,Czechia,1988,0,0,0,0,,,,
487,Czechia,1989,0,0,0,0,,,,
488,Czechia,1990,0,0,0,0,,,,
489,Czechia,1991,0,0,0,0,,,,
490,Czechia,1992,0,0,0,0,,,,
491,Czechia,1993,0,0,0,0,,,,
492,Czechia,1994,0,0,0,0,,,,
493,Czechia,1995,0,0,0,0,,,,
494,Czechia,1996,1,0,1,1,,,,
495,Czechia,1997,0,0,0,1,,,,
496,Czechia,1998,0,0,0,1,,,,
497,Czechia,1999,0,0,0,1,,,,
498,Czechia,2000,0,0,0,1,,,,
499,Czechia,2001,0,0,0,1,,,,
500,Czechia,2002,17,0,17,18,,,,
501,Czechia,2003,5,0,5,23,,,,
502,Czechia,2004,10,0,10,33,,,,
503,Czechia,2005,21,0,21,54,,,,
504,Czechia,2006,16,0,16,70,,,,
505,Czechia,2007,9,0,9,79,,,,
506,Czechia,2008,0,0,0,79,,,,
507,Czechia,2009,0,0,0,79,,,,
508,Czechia,2010,0,0,0,79,,,,
509,Czechia,2011,0,0,0,79,,,,
510,Czechia,2012,0,0,0,79,,,,
511,Czechia,2013,0,0,0,79,,,,
512,Czechia,2014,0,0,0,79,,,,
513,Czechia,2015,4,0,4,83,,,,
514,Czechia,2016,4,0,4,87,,,,
515,Denmark,1980,39,0,39,39,,,,
516,Denmark,1981,20,0,20,59,,,,
517,Denmark,1982,19,0,19,78,,,,
518,Denmark,1983,21,0,21,99,,,,
519,Denmark,1984,22,0,22,121,,,,
520,Denmark,1985,16,0,16,137,,,,
521,Denmark,1986,34,0,34,171,,,,
522,Denmark,1987,30,0,30,201,,,,
523,Denmark,1988,77,0,77,278,,,,
524,Denmark,1989,1376,0,1376,1654,,,,
525,Denmark,1990,1547,0,1547,3201,,,,
526,Denmark,1991,1679,0,1679,4880,,,,
527,Denmark,1992,1741,0,1741,6621,,,,
528,Denmark,1993,1763,0,1763,8384,,,,
529,Denmark,1994,1763,0,1763,10147,,,,
530,Denmark,1995,1763,0,1763,11910,,,,
531,Denmark,1996,1070,0,1070,12980,,,,
532,Denmark,1997,577,0,577,13557,,,,
533,Denmark,1998,445,0,445,14002,,,,
534,Denmark,1999,541,0,541,14543,,,,
535,Denmark,2000,373,0,373,14916,,,,
536,Denmark,2001,218,0,218,15134,,,,
537,Denmark,2002,203,0,203,15337,,,,
538,Denmark,2003,165,0,165,15502,,,,
539,Denmark,2004,199,0,199,15701,,,,
540,Denmark,2005,294,0,294,15995,,,,
541,Denmark,2006,330,0,330,16325,,,,
542,Denmark,2007,164,0,164,16489,,,,
543,Denmark,2008,187,0,187,16676,,,,
544,Denmark,2009,174,0,174,16850,,,,
545,Denmark,2010,158,0,158,17008,,,,
546,Denmark,2011,128,0,128,17136,,,,
547,Denmark,2012,92,0,92,17228,,,,
548,Denmark,2013,108,0,108,17336,,,,
549,Denmark,2014,25,0,25,17361,,,,
550,Denmark,2015,24,0,24,17385,,,,
551,Denmark,2016,25,0,25,17410,,,,
552,Ecuador,1980,0,0,0,0,,,,
553,Ecuador,1981,0,0,0,0,,,,
554,Ecuador,1982,0,0,0,0,,,,
555,Ecuador,1983,0,0,0,0,,,,
556,Ecuador,1984,0,0,0,0,,,,
557,Ecuador,1985,0,0,0,0,,,,
558,Ecuador,1986,0,0,0,0,,,,
559,Ecuador,1987,0,0,0,0,,,,
560,Ecuador,1988,0,0,0,0,,,,
561,Ecuador,1989,0,0,0,0,,,,
562,Ecuador,1990,0,0,0,0,,,,
563,Ecuador,1991,0,0,0,0,,,,
564,Ecuador,1992,0,0,0,0,,,,
565,Ecuador,1993,0,0,0,0,,,,
566,Ecuador,1994,0,0,0,0,,,,
567,Ecuador,1995,0,0,0,0,,,,
568,Ecuador,1996,0,0,0,0,,,,
569,Ecuador,1997,0,0,0,0,,,,
570,Ecuador,1998,0,0,0,0,,,,
571,Ecuador,1999,0,0,0,0,,,,
572,Ecuador,2000,0,0,0,0,,,,
573,Ecuador,2001,1,0,1,1,,,,
574,Ecuador,2002,1,0,1,2,,,,
575,Ecuador,2003,1,0,1,3,,,,
576,Ecuador,2004,1,0,1,4,,,,
577,Ecuador,2005,1,0,1,5,,,,
578,Ecuador,2006,1,0,1,6,,,,
579,Ecuador,2007,2,0,2,8,,,,
580,Ecuador,2008,4,0,4,12,,,,
581,Ecuador,2009,5,0,5,17,,,,
582,Ecuador,2010,5,0,5,22,,,,
583,Ecuador,2011,5,0,5,27,,,,
584,Ecuador,2012,6,0,6,33,,,,
585,Ecuador,2013,5,0,5,38,,,,
586,Ecuador,2014,6,0,6,44,,,,
587,Ecuador,2015,6,0,6,50,,,,
588,Ecuador,2016,0,0,0,50,,,,
589,Estonia,1980,0,0,0,0,,,,
590,Estonia,1981,0,0,0,0,,,,
591,Estonia,1982,0,0,0,0,,,,
592,Estonia,1983,0,0,0,0,,,,
593,Estonia,1984,0,0,0,0,,,,
594,Estonia,1985,0,0,0,0,,,,
595,Estonia,1986,0,0,0,0,,,,
596,Estonia,1987,0,0,0,0,,,,
597,Estonia,1988,0,0,0,0,,,,
598,Estonia,1989,0,0,0,0,,,,
599,Estonia,1990,0,0,0,0,,,,
600,Estonia,1991,0,0,0,0,,,,
601,Estonia,1992,0,0,0,0,,,,
602,Estonia,1993,0,0,0,0,,,,
